control_id,control_statement,family,gate,overlay,allocation,status,evidence,evidence_date,rationale,owner,residual_risk,review_date,todo_ref
SCA-DP-03,Keys have defined generation-storage-use-rotation-destruction,DP,C,ALL,FW+PROC,Not Determined,,,,,,,
SCA-DP-04,Flash readout protection enabled in production fuse map,DP,I-LOCK,ALL,HW+FW,Not Determined,,,,,,,
SCA-DP-05,Data leaving the board integrity-protected,DP,C,ALL,FW,Not Determined,,,,,,,
SCA-DP-06,Replay protection on every authenticated channel,DP,C,ALL,FW,Not Determined,,,,,,,
SCA-DP-07,Cryptographic agility without hardware change,DP,I,ALL,FW,Not Determined,,,,,,,
SCA-DP-08,Stored data deletable or renderable inaccessible on command,DP,C,ALL,FW,Not Determined,,,,,,,
SCA-IA-01,Every interface enumerated incl unpopulated headers and test points,IA,I-LOCK,ALL,HW+DOC,Not Determined,,,,,,,
SCA-IA-02,Unnecessary interfaces removed or secured,IA,I-LOCK,ALL,HW+FW,Not Determined,,,,,,,
SCA-IA-03,Every necessary interface has an access-control measure,IA,C,ALL,FW,Not Determined,,,,,,,
SCA-IA-04,Debug access disabled locked or authenticated in production,IA,I-LOCK,ALL,HW+FW,Not Determined,,,,,,,
SCA-IA-05,Received data validated against specified format and content,IA,C,ALL,FW,Not Determined,,,,,,,
SCA-IA-06,No unauthorized transmissions to or access of other components,IA,C,ALL,FW,Not Determined,,,,,,,
SCA-IA-07,Access control maintained during onboarding and reconnection,IA,C,ALL,FW,Not Determined,,,,,,,
SCA-SU-01,Firmware signed and signature verified before execution,SU,I-LOCK,ALL,HW+FW,Not Determined,,,,,,,
SCA-SU-02,Verification root of trust immutable or protected,SU,I-LOCK,ALL,HW,Not Determined,,,,,,,
SCA-SU-03,Interrupted update leaves board bootable and known,SU,C,ALL,FW,Not Determined,,,,,,,
SCA-SU-04,Anti-rollback blocks vulnerable images; recovery to known-good allowed,SU,C,ALL,FW,Not Determined,,,,,,,
SCA-SU-05,Updates refused in unsafe operational state,SU,C,ALL,FW,Not Determined,,,,,,,
SCA-SU-06,Update cadence and end-of-support date published,SU,R,ALL,DOC+PROC,Not Determined,,,,,,,
SCA-SU-07,Update channel authenticated and integrity-protected in transit,SU,C,ALL,FW,Not Determined,,,,,,,
SCA-CS-01,Security-relevant events identified and captured,CS,C,ALL,FW,Not Determined,,,,,,,
SCA-CS-02,Trustworthy time or sequence source anchors every log entry,CS,I-LOCK,ALL,HW+FW,Not Determined,,,,,,,
SCA-CS-03,Log storage bounded and sized against flash endurance,CS,I,ALL,HW+FW,Not Determined,,,,,,,
SCA-CS-04,Logs resist tampering by a compromised application,CS,C,ALL,FW,Not Determined,,,,,,,
SCA-CS-05,Authorized entity can retrieve logs; unauthorized cannot,CS,C,ALL,FW,Not Determined,,,,,,,
SCA-CS-06,Board reports own security posture on request,CS,C,ALL,FW,Not Determined,,,,,,,
SCA-CS-07,Defined action on a detected security event not only logging,CS,R,ALL,FW,Not Determined,,,,,,,
SCA-DS-01,Secure boot verifies each stage before transferring control,DS,I-LOCK,ALL,HW+FW,Not Determined,,,,,,,
SCA-DS-02,Signing key lifetime and algorithm chosen against service life,DS,I-LOCK,ALL,PROC,Not Determined,,,,,,,
SCA-DS-03,Resource exhaustion cannot break the control-loop deadline,DS,I-LOCK,ALL,FW,Not Determined,,,,,,,
SCA-DS-04,Memory protection separates privileged from application code,DS,I,ALL,HW+FW,Not Determined,,,,,,,
SCA-DS-05,Board detects and reports unauthorized change to itself,DS,C,ALL,FW,Not Determined,,,,,,,
SCA-DS-06,First network join authenticated; no open pairing window,DS,C,ALL,FW,Not Determined,,,,,,,
SCA-DS-07,Physical tamper measures appropriate to SL-T implemented,DS,I-LOCK,ALL,HW,Not Determined,,,,,,,
SCA-DS-08,Test points and probe-accessible nets placed per SL-T,DS,I-LOCK,ALL,HW,Not Determined,,,,,,,
SCA-ZT-01,Exposed resources enumerated individually each with a policy,ZT,I,ALL,DOC+FW,Not Determined,,,,,,,
SCA-ZT-02,Actuator command path authenticated and enforced before actuation,ZT,I-LOCK,ALL,FW,Not Determined,,,,,,,
SCA-ZT-03,Authorization session-scoped and re-evaluated at transitions,ZT,C,ALL,FW,Not Determined,,,,,,,
SCA-ZT-04,Policy may consider operational and environmental state,ZT,C,ALL,FW,Not Determined,,,,,,,
SCA-ZT-05,Cached policy has validity window and defined safe expiry behavior,ZT,I-LOCK,ALL,FW+DOC,Not Determined,,,,,,,
SCA-ZT-06,Access never granted on network location or bus membership,ZT,C,ALL,FW,Not Determined,,,,,,,
SCA-ZT-07,Third-party payload interfaces untrusted and gateway-mediated,ZT,I-LOCK,ALL,HW+FW,Not Determined,,,,,,,
SCA-OT-01,Zone and crossing conduits identified with an SL-T each,OT,I-LOCK,ALL,DOC,Not Determined,,,,,,,
SCA-OT-02,Restricted data flow enforced at the board boundary,OT,C,ALL,FW,Not Determined,,,,,,,
SCA-OT-03,Protocol implementations hardened against malformed input,OT,C,ALL,FW,Not Determined,,,,,,,
SCA-OT-04,Defense in depth present at the hardware layer,OT,I-LOCK,ALL,HW,Not Determined,,,,,,,
SCA-OT-05,Field-IO Purdue Level 0 exposure analyzed,OT,I,ALL,DOC,Not Determined,,,,,,,
SCA-OT-06,Availability degradation modes defined and tested,OT,C,ALL,FW,Not Determined,,,,,,,
SCA-SL-01,Four-way safety-security interaction analysis recorded,SL,I-LOCK,ALL,DOC,Not Determined,,,,,,,
SCA-SL-02,No security control can prevent a safety function executing,SL,I-LOCK,ALL,HW+FW,Not Determined,,,,,,,
SCA-SL-03,Failsafe stop unauthenticated; arm enable authenticated,SL,I-LOCK,ALL,FW,Not Determined,,,,,,,
SCA-SL-04,Independent hardware limits bound compromised-firmware damage,SL,I-LOCK,ALL,HW,Not Determined,,,,,,,
SCA-SL-05,Security-caused failure conditions on the safety severity scale,SL,R,ALL,DOC,Not Determined,,,,,,,
SCA-SL-06,Regulatory applicability triaged; no unearned compliance claims,SL,I,ALL,DOC,Not Determined,,,,,,,
SCA-SL-07,Navigation sources untrusted; spoofing detection and response,SL,I,A+G+M,FW,Not Determined,,,,,,,
SCA-SC-01,SBOM exists with the NTIA minimum elements,SC,R,ALL,DOC,Not Determined,,,,,,,
SCA-SC-02,Hardware BOM records security-relevant part provenance,SC,C,ALL,DOC,Not Determined,,,,,,,
SCA-SC-03,Third-party components tracked for vulnerabilities over support life,SC,S,ALL,PROC,Not Determined,,,,,,,
SCA-SC-04,Toolchain and build reproducible enough to establish image contents,SC,R,ALL,PROC,Not Determined,,,,,,,
SCA-SC-05,Counterfeit-part risk addressed for security-critical devices,SC,C,ALL,PROC,Not Determined,,,,,,,
SCA-HC-01,ID EEPROM write-protected in production; WP driven not floating,HC,I-LOCK,C,HW,Not Applicable,,,Standalone board - no expansion header,,,,
SCA-HC-02,Device tree overlay integrity-protected or host-signed channel,HC,I-LOCK,C,HW+PROC,Not Applicable,,,Standalone board - no expansion header,,,,
SCA-HC-03,Board tolerates hostile or faulty peer on shared buses,HC,C,C,FW,Not Applicable,,,Standalone board - no shared header bus,,,,
SCA-HC-04,Declared current draw truthful; hardware limit protects host rails,HC,I-LOCK,C,HW,Not Applicable,,,Standalone board - no host rails,,,,
SCA-HC-05,Board-host division of responsibility documented and shipped,HC,R,C,DOC,Not Applicable,,,Standalone board - no host,,,,
SCA-HC-06,Host commands authorized by board not trusted via the header,HC,I-LOCK,C,FW,Not Applicable,,,Standalone board - no host,,,,
SCA-HC-07,Secrets not placed on a bus shared with peer boards,HC,I-LOCK,C,HW,Not Applicable,,,Standalone board - no shared bus,,,,
SCA-HC-08,Safety envelope enforcement survives host compromise hang reboot,HC,I-LOCK,C,HW,Not Applicable,,,Standalone board - no host,,,,
SCA-HC-09,Least host privilege required and documented,HC,C,C,DOC+FW,Not Applicable,,,Standalone board - no host,,,,
SCA-NT-01,Development assumptions recorded and communicated to integrator,NT,R,ALL,DOC,Not Determined,,,,,,,
SCA-NT-02,Implemented capabilities documented incl unmet criteria and why,NT,R,ALL,DOC,Not Determined,,,,,,,
SCA-NT-03,Monitored channel receives vulnerability reports with a process,NT,R,ALL,PROC,Not Determined,,,,,,,
SCA-NT-04,Minimum dissemination set broadcastable to customers,NT,R,ALL,PROC,Not Determined,,,,,,,
SCA-NT-05,Hardening and deployment guide ships with the board,NT,Q,ALL,DOC,Not Determined,,,,,,,
SCA-NT-06,EOL reprovisioning and disposal instructions with working erase,NT,R,ALL,DOC+FW,Not Determined,,,,,,,
SCA-NT-07,Expected support lifespan and cybersecurity costs stated,NT,I,ALL,DOC,Not Determined,,,,,,,
